Scenario,Distance,ObstacleDetected,Reaction
scenario_1on,15.6484375,False,FORWARD
scenario_1on,15.65625,False,FORWARD
scenario_1on,15.65625,False,FORWARD
scenario_1on,15.65625,False,FORWARD
scenario_1on,15.65625,False,FORWARD
scenario_1on,15.53125,False,FORWARD
scenario_1on,15.5234375,False,FORWARD
scenario_1on,15.515625,False,FORWARD
scenario_1on,15.515625,False,FORWARD
scenario_1on,15.5234375,False,FORWARD
scenario_1on,15.5234375,False,FORWARD
scenario_1on,15.5234375,False,FORWARD
scenario_1on,15.5234375,False,FORWARD
scenario_1on,15.53125,False,FORWARD
scenario_1on,15.53125,False,FORWARD
scenario_1on,15.53125,False,FORWARD
scenario_1on,15.390625,False,FORWARD
scenario_1on,15.3984375,False,FORWARD
scenario_1on,15.3984375,False,FORWARD
scenario_1on,15.390625,False,FORWARD
scenario_1on,15.3984375,False,FORWARD
scenario_1on,15.40625,False,FORWARD
scenario_1on,15.40625,False,FORWARD
scenario_1on,15.3984375,False,FORWARD
scenario_1on,15.3984375,False,FORWARD
scenario_1on,15.40625,False,FORWARD
scenario_1on,15.40625,False,FORWARD
scenario_1on,15.3515625,False,FORWARD
scenario_1on,15.265625,False,FORWARD
scenario_1on,15.2734375,False,FORWARD
scenario_1on,15.2734375,False,FORWARD
scenario_1on,15.2734375,False,FORWARD
scenario_1on,15.2734375,False,FORWARD
scenario_1on,15.28125,False,FORWARD
scenario_1on,15.28125,False,FORWARD
scenario_1on,15.28125,False,FORWARD
scenario_1on,15.28125,False,FORWARD
scenario_1on,15.1640625,False,FORWARD
scenario_1on,15.1484375,False,FORWARD
scenario_1on,15.1484375,False,FORWARD
scenario_1on,15.1484375,False,FORWARD
scenario_1on,15.15625,False,FORWARD
scenario_1on,15.15625,False,FORWARD
scenario_1on,15.15625,False,FORWARD
scenario_1on,15.15625,False,FORWARD
scenario_1on,15.1640625,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,15.0234375,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,15.03125,False,FORWARD
scenario_1on,14.90625,False,FORWARD
scenario_1on,14.90625,False,FORWARD
scenario_1on,14.90625,False,FORWARD
scenario_1on,14.90625,False,FORWARD
scenario_1on,14.9140625,False,FORWARD
scenario_1on,14.9140625,False,FORWARD
scenario_1on,14.832031,False,FORWARD
scenario_1on,14.7890625,False,FORWARD
scenario_1on,14.78125,False,FORWARD
scenario_1on,14.7890625,False,FORWARD
scenario_1on,14.7890625,False,FORWARD
scenario_1on,14.7890625,False,FORWARD
